X.Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC156-89_S156_L001	Fun_S89	89	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
FunITS-BC157-90_S157_L001	Fun_S90	90	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC158-91_S158_L001	Fun_S91	91	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC159-92_S159_L001	Fun_S92	92	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC160-93_S160_L001	Fun_S93	93	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC145-94_S145_L001	Fun_S94	94	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC146-95_S146_L001	Fun_S95	95	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC147-96_S147_L001	Fun_S96	96	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC148-97_S148_L001	Fun_S97	97	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC172-98_S172_L001	Fun_S98	98	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC361-99_S361_L001	Fun_S99	99	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
FunITS-BC173-100_S173_L001	Fun_S100	100	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC174-101_S174_L001	Fun_S101	101	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
FunITS-BC149-102_S149_L001	Fun_S102	102	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC150-103_S150_L001	Fun_S103	103	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
FunITS-BC362-104_S362_L001	Fun_S104	104	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC175-105_S175_L001	Fun_S105	105	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC289-106_S289_L001	Fun_S106	106	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
FunITS-BC290-107_S290_L001	Fun_S107	107	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC291-108_S291_L001	Fun_S108	108	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
FunITS-BC363-109_S363_L001	Fun_S109	109	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC292-110_S292_L001	Fun_S110	110	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC293-111_S293_L001	Fun_S111	111	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
FunITS-BC294-112_S294_L001	Fun_S112	112	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
FunITS-BC364-113_S364_L001	Fun_S113	113	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC365-114_S365_L001	Fun_S114	114	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC366-115_S366_L001	Fun_S115	115	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC295-116_S295_L001	Fun_S116	116	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC296-117_S296_L001	Fun_S117	117	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC297-118_S297_L001	Fun_S118	118	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC1-119_S1_L001	Fun_S119	119	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC298-120_S298_L001	Fun_S120	120	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC367-121_S367_L001	Fun_S121	121	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC368-122_S368_L001	Fun_S122	122	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC369-123_S369_L001	Fun_S123	123	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC299-124_S299_L001	Fun_S124	124	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC2-125_S2_L001	Fun_S125	125	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC3-126_S3_L001	Fun_S126	126	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC4-127_S4_L001	Fun_S127	127	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC5-128_S5_L001	Fun_S128	128	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC6-129_S6_L001	Fun_S129	129	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC300-130_S300_L001	Fun_S130	130	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC301-131_S301_L001	Fun_S131	131	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC342-132_S342_L001	Fun_S132	132	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC302-133_S302_L001	Fun_S133	133	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC303-134_S303_L001	Fun_S134	134	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC304-135_S304_L001	Fun_S135	135	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC343-136_S343_L001	Fun_S136	136	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC344-137_S344_L001	Fun_S137	137	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC7-138_S7_L001	Fun_S138	138	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
FunITS-BC305-139_S305_L001	Fun_S139	139	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
FunITS-BC345-140_S345_L001	Fun_S140	140	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
FunITS-BC370-141_S370_L001	Fun_S141	141	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC306-142_S306_L001	Fun_S142	142	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC346-143_S346_L001	Fun_S143	143	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
FunITS-BC307-144_S307_L001	Fun_S144	144	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
FunITS-BC8-145_S8_L001	Fun_S145	145	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC308-146_S308_L001	Fun_S146	146	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC9-147_S9_L001	Fun_S147	147	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC10-148_S10_L001	Fun_S148	148	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
FunITS-BC11-149_S11_L001	Fun_S149	149	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC371-150_S371_L001	Fun_S150	150	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC372-151_S372_L001	Fun_S151	151	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
FunITS-BC309-152_S309_L001	Fun_S152	152	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
FunITS-BC12-153_S12_L001	Fun_S153	153	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
FunITS-BC373-154_S373_L001	Fun_S154	154	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
FunITS-BC13-155_S13_L001	Fun_S155	155	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
